,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
51,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,179.27,3384444947.0,52.0,,292348571.0,185.76,176.27,0.111035,0.06198,-110063.93777942657,-0.00325,18865776.644239,21000000.0,,489.75,-63.37689,2021-04-16T17:09:04.630Z,42.02,326.87651,2018-11-23T00:00:00.000Z,,2021-10-10T20:14:21.612Z
52,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,46.63,3290200409.0,53.0,,227672871.0,48.3,46.38,-1.267822581761,-2.64677,-114367045.09052658,-3.35922,70530000.0,100000000.0,,198.38,-76.44747,2018-01-15T00:00:00.000Z,0.078349,59535.2051,2016-10-21T00:00:00.000Z,"{'times': 1294.3589676620477, 'currency': 'usd', 'percentage': 129435.89676620478}",2021-10-10T20:14:06.297Z
53,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,346.49,3111307976.0,54.0,3464670374.0,153255296.0,372.36,345.55,-7.479232394051,-2.11294,-69906031.9258771,-2.19746,8980098.074112339,10000000.0,10000000.0,621.71,-44.35038,2021-05-18T05:04:41.858Z,0.876572,39369.24876,2020-01-14T19:20:20.768Z,,2021-10-10T20:14:22.470Z
54,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02232253,2791095655.0,55.0,,9697701.0,0.02246176,0.02214638,5.645e-05,0.25353,16058712.0,0.57868,125347640133.73,125347640133.73,,0.058843,-62.19876,2020-10-21T11:24:27.820Z,0.00620705,258.35905,2021-03-04T08:11:37.438Z,,2021-10-10T20:12:33.769Z
55,waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,27.5,2749501880.0,56.0,,120108818.0,28.85,27.26,-0.76937887464,-2.7218,-87268598.19741297,-3.07634,100000000.0,100000000.0,,43.01,-36.07863,2021-05-04T06:49:41.528Z,0.130878,20908.12879,2016-08-02T00:00:00.000Z,"{'times': 145.26548861590032, 'currency': 'usd', 'percentage': 14526.548861590032}",2021-10-10T20:14:29.074Z
56,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,2726746028.0,57.0,,26010568.0,1.01,0.997287,0.00475057,0.4752,4719947.0,0.1734,2720671506.33587,2720861741.56364,,1.09,-8.22413,2021-01-11T22:30:57.984Z,0.857992,16.79678,2021-05-19T13:14:26.898Z,,2021-10-10T20:14:51.760Z
57,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02174777,2694977265.0,58.0,,33277567.0,0.02194204,0.02157255,4.961e-05,0.22865,33014704.0,1.24024,124242138550.78,124242138550.78,,0.03159087,-31.41084,2020-10-12T21:29:00.007Z,0.00728854,197.28723,2020-03-18T04:29:40.819Z,,2021-10-10T20:12:34.424Z
58,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2.8,2647292419.0,59.0,,618453.0,2.89,2.8,-0.037259443434,-1.31433,-27091327.427666187,-1.01299,944200997.9,985239504.0,,3.95,-29.08763,2021-05-14T13:54:31.192Z,0.799859,249.75943,2019-12-24T15:14:35.376Z,,2021-10-10T20:14:42.957Z
59,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00397146,2614539666.0,60.0,,548792754.0,0.00422861,0.00394698,-0.000197212722,-4.73082,-142171237.9716196,-5.15728,659071882049.0,990000000000.0,,0.01356626,-70.73263,2021-04-05T04:09:06.433Z,0.00013814,2774.19044,2020-03-13T02:22:57.629Z,"{'times': 32.095520418147416, 'currency': 'usd', 'percentage': 3209.5520418147416}",2021-10-10T20:14:21.086Z
60,harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.242704,2596127937.0,61.0,3201419608.0,503626004.0,0.255872,0.206222,0.03194478,15.15699,336889534.0,14.91164,10668634458.7931,13156044839.793139,13156044839.793139,0.255872,-5.04634,2021-10-10T15:54:27.782Z,0.00127355,18977.34918,2020-03-13T02:24:14.005Z,"{'times': 75.44226160453883, 'currency': 'usd', 'percentage': 7544.2261604538835}",2021-10-10T20:14:08.260Z
